Location,Time,Activity,Item_Type,History_Of_Loss,Risk_Level
Colombo,11,stationary,mobile phone,FALSE,Unknown
Galle Face,18,walking,wallet,FALSE,High
Pettah Bus Stand,6,driving,mobile phone,TRUE,Unknown
Galle,9,stationary,wallet,FALSE,Unknown
Temple of the Tooth,22,stationary,backpack,TRUE,Moderate
Jaffna,15,stationary,keys,TRUE,Unknown
Fort Railway Station,22,driving,mobile phone,FALSE,Unknown
Pettah Bus Stand,16,walking,wallet,FALSE,Unknown
Temple of the Tooth,2,stationary,water bottle,FALSE,Unknown
Viharamahadevi Park,18,stationary,keys,FALSE,Moderate
Jaffna,0,walking,water bottle,FALSE,Unknown
Colombo,7,driving,mobile phone,TRUE,Unknown
Jaffna,22,driving,water bottle,TRUE,Unknown
Katunayake Airport,6,walking,water bottle,FALSE,High
Galle Face,8,driving,wallet,TRUE,Unknown
Majestic City,12,walking,wallet,FALSE,Unknown
Gangaramaya Temple,14,stationary,wallet,FALSE,Unknown
Jaffna,20,stationary,sunglasses,FALSE,Unknown
Gangaramaya Temple,13,walking,mobile phone,TRUE,Moderate
Galle,6,walking,water bottle,FALSE,Unknown
Fort Railway Station,18,stationary,keys,FALSE,High
Viharamahadevi Park,7,walking,ID card,TRUE,Moderate
Majestic City,16,walking,wallet,TRUE,Unknown
Jaffna,9,stationary,keys,TRUE,Unknown
Katunayake Airport,8,stationary,water bottle,FALSE,Unknown
Liberty Plaza,23,driving,wallet,FALSE,Unknown
Kandy,5,walking,sunglasses,FALSE,Unknown
Temple of the Tooth,11,driving,keys,FALSE,Unknown
Kandy,21,walking,wallet,TRUE,Unknown
Gangaramaya Temple,18,stationary,keys,TRUE,Moderate
Liberty Plaza,12,stationary,mobile phone,FALSE,Moderate
Pettah Bus Stand,5,stationary,sunglasses,FALSE,Unknown
Fort Railway Station,0,driving,mobile phone,FALSE,Unknown
Viharamahadevi Park,1,driving,keys,FALSE,Unknown
Jaffna,21,walking,wallet,TRUE,Unknown
Fort Railway Station,14,walking,ID card,TRUE,Unknown
Liberty Plaza,3,walking,water bottle,TRUE,Unknown
Kandy,21,driving,water bottle,TRUE,Unknown
Pettah Bus Stand,15,walking,mobile phone,FALSE,Unknown
Galle,4,driving,wallet,TRUE,Unknown
Jaffna,1,driving,ID card,FALSE,Unknown
Galle,16,stationary,backpack,FALSE,Low
Kandy,16,walking,sunglasses,FALSE,Unknown
Katunayake Airport,5,stationary,ID card,TRUE,Unknown
Viharamahadevi Park,0,walking,wallet,TRUE,Unknown
Liberty Plaza,5,driving,sunglasses,FALSE,Unknown
Fort Railway Station,12,walking,backpack,TRUE,Unknown
Kandy,2,driving,wallet,TRUE,Unknown
Temple of the Tooth,3,driving,mobile phone,TRUE,Moderate
Pettah Bus Stand,3,stationary,wallet,FALSE,Unknown
Majestic City,16,walking,wallet,FALSE,Unknown
Galle Face,17,driving,wallet,FALSE,Unknown
Pettah Bus Stand,16,walking,keys,TRUE,Unknown
Temple of the Tooth,23,driving,ID card,TRUE,Moderate
Fort Railway Station,21,stationary,backpack,FALSE,Low
Jaffna,16,driving,water bottle,TRUE,Unknown
Galle,10,driving,mobile phone,FALSE,Unknown
Gangaramaya Temple,23,walking,sunglasses,FALSE,Unknown
Colombo,10,walking,keys,FALSE,Unknown
Kandy,14,walking,water bottle,TRUE,Unknown
Pettah Bus Stand,22,driving,backpack,TRUE,Unknown
Majestic City,12,stationary,backpack,TRUE,Low
Kandy,22,stationary,water bottle,FALSE,Unknown
Liberty Plaza,21,walking,wallet,FALSE,Unknown
Galle,4,walking,wallet,FALSE,Unknown
Jaffna,7,driving,water bottle,FALSE,Unknown
Majestic City,17,driving,sunglasses,FALSE,Unknown
Liberty Plaza,6,walking,backpack,FALSE,Moderate
Pettah Bus Stand,22,stationary,wallet,FALSE,Unknown
Colombo,22,walking,backpack,FALSE,Unknown
Majestic City,11,walking,mobile phone,TRUE,Unknown
Gangaramaya Temple,21,walking,wallet,TRUE,Moderate
Viharamahadevi Park,13,driving,backpack,FALSE,Moderate
Galle,4,walking,wallet,FALSE,Unknown
Galle Face,0,stationary,water bottle,FALSE,Unknown
Temple of the Tooth,11,driving,wallet,FALSE,Unknown
Katunayake Airport,3,stationary,mobile phone,FALSE,Unknown
Jaffna,5,walking,mobile phone,FALSE,Unknown
Majestic City,11,walking,keys,TRUE,Unknown
Liberty Plaza,0,walking,water bottle,TRUE,Unknown
Colombo,12,stationary,water bottle,TRUE,Unknown
Colombo,8,walking,keys,TRUE,Unknown
Kandy,0,walking,wallet,TRUE,Unknown
Liberty Plaza,13,driving,mobile phone,TRUE,Moderate
Katunayake Airport,7,stationary,sunglasses,FALSE,Unknown
Galle,4,driving,keys,TRUE,Unknown
Temple of the Tooth,0,driving,wallet,TRUE,Moderate
Liberty Plaza,20,walking,sunglasses,FALSE,Moderate
Liberty Plaza,16,driving,backpack,FALSE,Moderate
Liberty Plaza,0,stationary,wallet,FALSE,Unknown
Galle,21,driving,keys,FALSE,Unknown
Pettah Bus Stand,8,driving,sunglasses,TRUE,High
Galle,7,stationary,keys,FALSE,Unknown
Kandy,16,walking,mobile phone,TRUE,Unknown
Liberty Plaza,9,stationary,mobile phone,TRUE,Moderate
Pettah Bus Stand,8,stationary,wallet,TRUE,High
Pettah Bus Stand,15,stationary,backpack,FALSE,Low
Jaffna,0,walking,ID card,TRUE,Unknown
Fort Railway Station,12,stationary,water bottle,TRUE,Unknown
Katunayake Airport,4,walking,mobile phone,FALSE,High
Fort Railway Station,7,walking,ID card,FALSE,Unknown
Fort Railway Station,8,walking,backpack,FALSE,High
Katunayake Airport,3,walking,keys,FALSE,High
Temple of the Tooth,12,walking,mobile phone,TRUE,Moderate
Gangaramaya Temple,1,stationary,backpack,TRUE,Moderate
Colombo,4,driving,ID card,TRUE,Unknown
Fort Railway Station,11,driving,water bottle,TRUE,Unknown
Jaffna,3,stationary,water bottle,TRUE,Unknown
Galle Face,19,driving,mobile phone,TRUE,Unknown
Fort Railway Station,23,walking,ID card,TRUE,Unknown
Pettah Bus Stand,5,walking,ID card,TRUE,Unknown
Galle,8,driving,ID card,FALSE,Unknown
Majestic City,1,stationary,sunglasses,FALSE,Unknown
Kandy,21,driving,water bottle,TRUE,Unknown
Katunayake Airport,11,stationary,water bottle,FALSE,Unknown
Galle,23,walking,ID card,TRUE,Unknown
Liberty Plaza,7,stationary,sunglasses,TRUE,Moderate
Galle Face,6,walking,wallet,FALSE,High
Temple of the Tooth,23,walking,ID card,FALSE,Unknown
Gangaramaya Temple,15,walking,keys,FALSE,Unknown
Temple of the Tooth,6,stationary,sunglasses,TRUE,Moderate
Katunayake Airport,4,stationary,water bottle,TRUE,Unknown
Pettah Bus Stand,6,stationary,wallet,FALSE,Unknown
Galle Face,1,stationary,keys,TRUE,Unknown
Galle,1,driving,ID card,TRUE,Unknown
Fort Railway Station,16,driving,wallet,TRUE,Unknown
